1,2,0.0922,0.047,0,0,0,0,0,0,1,-360,360
2,3,0.493,0.2511,0,0,0,0,0,0,1,-360,360
3,4,0.366,0.1864,0,0,0,0,0,0,1,-360,360
4,5,0.3811,0.1941,0,0,0,0,0,0,1,-360,360
5,6,0.819,0.707,0,0,0,0,0,0,1,-360,360
6,7,0.1872,0.6188,0,0,0,0,0,0,1,-360,360
7,8,0.7114,0.2351,0,0,0,0,0,0,1,-360,360
8,9,1.03,0.74,0,0,0,0,0,0,1,-360,360
9,10,1.044,0.74,0,0,0,0,0,0,1,-360,360
10,11,0.1966,0.065,0,0,0,0,0,0,1,-360,360
11,12,0.3744,0.1238,0,0,0,0,0,0,1,-360,360
12,13,1.468,1.155,0,0,0,0,0,0,1,-360,360
13,14,0.5416,0.7129,0,0,0,0,0,0,1,-360,360
14,15,0.591,0.526,0,0,0,0,0,0,1,-360,360
15,16,0.7463,0.545,0,0,0,0,0,0,1,-360,360
16,17,1.289,1.721,0,0,0,0,0,0,1,-360,360
17,18,0.732,0.574,0,0,0,0,0,0,1,-360,360
2,19,0.164,0.1565,0,0,0,0,0,0,1,-360,360
19,20,1.5042,1.3554,0,0,0,0,0,0,1,-360,360
20,21,0.4095,0.4784,0,0,0,0,0,0,1,-360,360
21,22,0.7089,0.9373,0,0,0,0,0,0,1,-360,360
3,23,0.4512,0.3083,0,0,0,0,0,0,1,-360,360
23,24,0.898,0.7091,0,0,0,0,0,0,1,-360,360
24,25,0.896,0.7011,0,0,0,0,0,0,1,-360,360
6,26,0.203,0.1034,0,0,0,0,0,0,1,-360,360
26,27,0.2842,0.1447,0,0,0,0,0,0,1,-360,360
27,28,1.059,0.9337,0,0,0,0,0,0,1,-360,360
28,29,0.8042,0.7006,0,0,0,0,0,0,1,-360,360
29,30,0.5075,0.2585,0,0,0,0,0,0,1,-360,360
30,31,0.9744,0.963,0,0,0,0,0,0,1,-360,360
31,32,0.3105,0.3619,0,0,0,0,0,0,1,-360,360
32,33,0.341,0.5302,0,0,0,0,0,0,1,-360,360
